Date,Open,High,Low,Close,Adj Close,Volume
2000-02-11,15.0,15.5,13.875,14.125,9.886099815368652,7089100
2000-02-14,14.125,14.125,13.375,13.5,9.448664665222168,846200
2000-02-15,13.5,13.5625,13.0,13.125,9.186202049255371,602500
2000-02-16,13.125,14.0,13.125,13.3125,9.317431449890137,182300
2000-02-17,13.3125,14.0,13.0,13.0,9.098711967468262,300800
2000-02-18,13.0,13.125,11.9375,12.125,8.486300468444824,272700
2000-02-22,12.125,12.25,11.75,11.875,8.311323165893555,451500
2000-02-23,11.875,13.0,11.875,12.8125,8.967482566833496,181000
2000-02-24,12.875,13.5,12.5,12.625,8.836249351501465,74400
2000-02-25,12.625,13.0625,12.25,13.0,9.098711967468262,151400
2000-02-28,13.0,13.0,12.25,12.25,8.573784828186035,162600
2000-02-29,12.25,12.4375,12.0,12.0,8.398811340332031,152800
2000-03-01,12.75,12.75,11.875,12.0625,8.442556381225586,112300
2000-03-02,12.09375,13.625,12.0,12.875,9.011223793029785,120600
2000-03-03,13.375,13.375,12.25,12.4375,8.7050199508667,73100
2000-03-06,12.25,13.25,12.25,13.1875,9.22994327545166,59700
2000-03-07,13.0625,13.625,12.75,12.875,9.011223793029785,64400
2000-03-08,13.625,13.625,12.125,12.5,8.748761177062988,111900
2000-03-09,13.0,13.0,12.375,12.625,8.836249351501465,30700
2000-03-10,12.375,12.5,12.25,12.25,8.573784828186035,31200
2000-03-13,12.375,12.4375,12.0,12.1875,8.53004264831543,37000
2000-03-14,12.25,12.5,11.75,12.125,8.486300468444824,59200
2000-03-15,11.8125,12.125,11.5625,11.625,8.13634967803955,153600
2000-03-16,11.625,11.875,11.0,11.0,7.698910713195801,402800
2000-03-17,11.375,11.75,11.375,11.5,8.048860549926758,346800
2000-03-20,11.4375,12.25,11.375,12.25,8.573784828186035,43500
2000-03-21,12.125,12.3125,11.875,11.875,8.311323165893555,30600
2000-03-22,12.125,12.125,11.875,11.875,8.311323165893555,45300
2000-03-23,11.875,12.6875,11.875,12.5,8.748761177062988,147300
2000-03-24,12.25,12.5,11.5,12.125,8.486300468444824,87700
2000-03-27,12.125,12.125,11.6875,11.6875,8.180093765258789,34000
2000-03-28,11.6875,12.125,11.6875,11.75,8.223837852478027,82100
2000-03-29,11.6875,11.75,11.0,11.0,7.698910713195801,105100
2000-03-30,11.0,11.5625,10.0,10.5625,7.392704010009766,1494800
2000-03-31,10.0,10.5,8.125,9.25,6.474081993103027,435700
2000-04-03,9.25,10.875,9.1875,10.375,7.261473178863525,46300
2000-04-04,10.375,11.0,9.0,9.0,6.299108028411865,71500
2000-04-05,9.0,9.625,8.75,8.8125,6.167878150939941,14700
2000-04-06,8.8125,9.125,8.625,8.75,6.124134063720703,41400
2000-04-07,8.75,9.375,8.75,9.0625,6.342852592468262,11900
2000-04-10,9.0,9.125,9.0,9.125,6.3865966796875,17800
2000-04-11,9.0,9.0,8.375,8.5,5.949158668518066,19000
2000-04-12,8.375,8.6875,8.375,8.5,5.949158668518066,72900
2000-04-13,8.5,9.5625,8.5,8.875,6.211621284484863,96100
2000-04-14,9.0,9.0,7.75,7.75,5.424232482910156,245800
2000-04-17,8.0625,8.25,8.0,8.0,5.599207878112793,93700
2000-04-18,8.1875,8.1875,8.0,8.0,5.599207878112793,58100
2000-04-19,8.125,8.375,7.9375,8.0625,5.642951488494873,282400
2000-04-20,8.0625,8.25,7.875,8.25,5.774184703826904,1626500
2000-04-24,8.125,8.5625,8.0,8.125,5.686695575714111,141700
2000-04-25,8.125,9.0,8.125,8.625,6.036646366119385,19200
2000-04-26,9.0,9.125,8.625,8.75,6.124134063720703,22700
2000-04-27,9.09375,9.09375,8.5,8.75,6.124134063720703,12900
2000-04-28,8.5,9.5,8.5,9.0,6.299108028411865,9000
2000-05-01,9.25,9.25,8.75,9.125,6.3865966796875,33300
2000-05-02,9.125,10.0,9.125,9.9375,6.955264568328857,73400
2000-05-03,9.875,9.875,9.625,9.75,6.824034214019775,146900
2000-05-04,10.0625,10.0625,9.5,9.6875,6.780289173126221,97100
2000-05-05,9.625,10.875,9.625,10.8125,7.567677021026611,27200
2000-05-08,10.5,11.5,10.5,11.125,7.786398410797119,9900
2000-05-09,11.25,11.5,10.75,11.0,7.698910713195801,16300
2000-05-10,10.75,10.75,9.75,10.0,6.999009132385254,21300
