Date,Open,High,Low,Close,Adj Close,Volume
1996-08-15,50.0,54.0,49.75199890136719,50.0,50.0,653375
1996-08-16,52.0,52.0,50.5,51.0,51.0,63425
1996-08-19,51.0,52.0,51.0,51.0,51.0,17750
1996-08-20,51.0,52.0,51.0,52.0,52.0,33575
1996-08-21,52.0,55.0,51.5,53.0,53.0,44125
1996-08-22,56.0,57.5,53.0,56.5,56.5,64900
1996-08-23,56.52000045776367,58.0,55.5,56.0,56.0,66975
1996-08-26,58.0,58.0,54.5,55.0,55.0,64800
1996-08-27,55.0,56.5,53.0,54.0,54.0,17275
1996-08-28,54.0,55.0,52.0,52.0,52.0,8200
1996-08-29,52.0,54.0,52.0,52.5,52.5,12700
1996-08-30,52.52000045776367,53.5,52.5,52.5,52.5,5975
1996-09-03,52.52000045776367,53.5,52.0,52.5,52.5,3475
1996-09-04,51.0,53.0,50.5,50.5,50.5,6925
1996-09-05,50.52000045776367,51.5,46.0,47.0,47.0,27975
1996-09-06,49.0,50.5,47.0,50.5,50.5,23875
1996-09-09,50.0,52.0,50.0,50.0,50.0,5100
1996-09-10,50.0,50.0,47.0,47.5,47.5,7325
1996-09-11,47.0,48.0,47.0,48.0,48.0,1525
1996-09-12,48.0,49.0,37.0,45.0,45.0,96000
1996-09-13,45.0,47.0,45.0,47.0,47.0,11575
1996-09-16,47.0,47.0,45.0,47.0,47.0,23600
1996-09-17,45.0,46.5,45.0,45.0,45.0,5950
1996-09-18,47.0,47.0,45.0,46.0,46.0,26650
1996-09-19,46.7599983215332,47.0,45.0,46.75199890136719,46.75199890136719,9975
1996-09-20,47.0,47.0,45.0,47.0,47.0,3250
1996-09-23,45.0,47.0,45.0,45.0,45.0,2125
1996-09-24,48.7599983215332,52.0,48.75199890136719,51.5,51.5,31225
1996-09-25,52.0,58.0,50.0,55.5,55.5,110050
1996-09-26,55.0,59.0,55.0,57.0,57.0,23475
1996-09-27,59.52000045776367,65.0,57.0,61.0,61.0,68050
1996-09-30,59.0,61.0,58.0,58.0,58.0,50525
1996-10-01,58.0,61.0,58.0,58.0,58.0,7250
1996-10-02,58.52000045776367,61.0,58.0,58.0,58.0,14750
1996-10-03,58.0,61.0,58.0,58.5,58.5,13025
1996-10-04,58.0,60.0,58.0,58.0,58.0,33375
1996-10-07,58.0,62.0,58.0,60.0,60.0,18525
1996-10-08,59.2400016784668,61.0,59.0,59.0,59.0,21100
1996-10-09,59.0,59.0,57.0,57.0,57.0,11500
1996-10-10,57.0,58.0,51.0,51.0,51.0,4200
1996-10-11,52.0,52.0,49.0,49.0,49.0,8875
1996-10-14,50.0,50.0,46.75199890136719,46.75199890136719,46.75199890136719,17800
1996-10-15,45.0,46.0,40.0,41.0,41.0,21800
1996-10-16,40.0,43.0,33.0,39.0,39.0,83700
1996-10-17,40.0,40.0,37.0,40.0,40.0,90150
1996-10-18,40.0,40.0,37.0,37.5,37.5,116325
1996-10-21,37.0,40.0,31.0,34.0,34.0,102250
1996-10-22,34.0,34.0,29.0,31.0,31.0,19575
1996-10-23,31.0,33.0,29.0,33.0,33.0,84250
1996-10-24,33.0,33.0,25.0,28.0,28.0,67450
1996-10-25,26.520000457763672,28.0,25.0,28.0,28.0,13200
1996-10-28,28.0,28.0,22.0,23.0,23.0,19275
1996-10-29,23.0,27.0,23.0,24.0,24.0,30150
1996-10-30,27.0,27.0,20.0,24.0,24.0,73500
1996-10-31,24.0,24.0,20.0,22.0,22.0,65700
1996-11-01,21.0,24.0,21.0,24.0,24.0,20700
1996-11-04,25.0,25.0,21.5,21.5,21.5,21225
1996-11-05,25.0,25.0,21.5,22.0,22.0,13600
1996-11-06,22.520000457763672,25.0,21.5,23.0,23.0,4675
1996-11-07,25.0,25.0,21.5,23.5,23.5,47650
1996-11-08,25.0,25.5,21.5,23.0,23.0,4250
1996-11-11,25.5,25.5,22.0,22.0,22.0,9975
1996-11-12,25.5,25.5,22.0,23.5,23.5,4125
1996-11-13,25.5,25.5,24.0,24.0,24.0,7175
1996-11-14,25.5,25.5,22.0,22.0,22.0,3500
1996-11-15,25.5,25.5,22.0,22.0,22.0,1150
1996-11-18,23.0,25.5,22.0,25.5,25.5,35550
1996-11-19,23.0,24.5,22.0,23.5,23.5,2475
1996-11-20,22.0,24.0,22.0,24.0,24.0,12300
1996-11-21,24.0,25.5,22.0,22.5,22.5,1325
1996-11-22,25.5,25.5,22.0,23.0,23.0,5225
1996-11-25,22.0,24.0,21.5,23.0,23.0,22050
1996-11-26,23.0,23.0,16.5,18.0,18.0,38150
1996-11-27,17.0,21.0,17.0,20.0,20.0,34025
1996-11-29,21.0,22.0,19.5,21.0,21.0,6900
1996-12-02,22.0,22.0,19.5,20.0,20.0,4525
1996-12-03,22.0,22.0,18.0,19.0,19.0,6850
1996-12-04,19.0,19.0,16.0,18.0,18.0,12500
1996-12-05,19.0,19.0,16.0,18.0,18.0,3300
1996-12-06,19.0,19.0,16.0,19.0,19.0,4100
1996-12-09,16.760000228881836,21.0,16.75200080871582,21.0,21.0,9475
1996-12-10,18.0,21.0,18.0,20.0,20.0,12825
1996-12-11,19.520000457763672,20.0,17.0,17.0,17.0,45225
1996-12-12,19.0,21.0,19.0,19.75200080871582,19.75200080871582,78500
1996-12-13,19.0,21.0,19.0,20.0,20.0,10575
1996-12-16,19.0,22.0,19.0,19.0,19.0,9800
1996-12-17,19.0,22.0,19.0,20.0,20.0,6975
1996-12-18,19.0,22.0,19.0,20.0,20.0,3725
1996-12-19,22.0,24.0,19.0,24.0,24.0,14350
1996-12-20,24.0,24.5,22.0,23.5,23.5,32625
1996-12-23,23.0,25.5,23.0,24.0,24.0,5875
1996-12-24,23.0,25.5,22.0,22.0,22.0,2775
1996-12-26,22.0,24.0,21.0,21.0,21.0,4550
1996-12-27,20.0,22.0,19.0,20.0,20.0,7275
1996-12-30,19.0,22.0,19.0,19.0,19.0,23775
1996-12-31,19.0,20.0,19.0,20.0,20.0,28200
1997-01-02,20.0,22.0,19.0,22.0,22.0,4825
1997-01-03,22.0,22.5,20.5,22.5,22.5,1425
1997-01-06,22.5,22.5,20.5,22.5,22.5,2025
1997-01-07,20.520000457763672,22.5,20.5,21.0,21.0,6125
1997-01-08,20.0,22.5,20.0,21.5,21.5,45050
1997-01-09,22.520000457763672,27.0,21.0,27.0,27.0,64750
1997-01-10,28.0,31.0,25.5,30.5,30.5,70650
1997-01-13,33.52000045776367,35.0,30.5,34.0,34.0,64700
1997-01-14,34.0,34.0,28.0,31.0,31.0,32650
1997-01-15,29.0,31.0,29.0,30.0,30.0,3425
1997-01-16,29.0,31.0,28.0,28.0,28.0,5650
1997-01-17,28.0,30.0,27.0,29.0,29.0,16000
1997-01-20,28.0,29.0,27.0,28.0,28.0,4025
1997-01-21,27.0,29.25200080871582,27.0,29.25200080871582,29.25200080871582,1925
1997-01-22,30.0,32.0,29.0,30.93600082397461,30.93600082397461,65775
1997-01-23,32.0,34.0,31.0,33.5,33.5,26375
1997-01-24,33.0,36.0,33.0,33.5,33.5,91850
1997-01-27,34.0,36.0,32.0,33.875999450683594,33.875999450683594,19175
1997-01-28,31.520000457763672,33.0,30.5,32.5,32.5,7400
1997-01-29,32.5,32.5,30.5,31.93600082397461,31.93600082397461,55850
1997-01-30,30.520000457763672,32.5,30.5,31.0,31.0,16575
1997-01-31,31.520000457763672,33.0,31.25200080871582,32.5,32.5,66825
1997-02-03,32.5,32.5,31.0,32.5,32.5,15525
1997-02-04,31.0,32.0,30.5,30.5,30.5,29100
1997-02-05,30.0,31.5,29.0,31.0,31.0,22750
1997-02-06,31.0,31.0,29.0,30.0,30.0,9775
1997-02-07,29.520000457763672,30.0,29.0,29.75200080871582,29.75200080871582,28500
1997-02-10,31.0,31.0,29.0,30.5,30.5,11625
1997-02-11,31.0,31.0,29.0,29.5,29.5,14450
1997-02-12,31.0,31.0,29.0,29.0,29.0,9625
1997-02-13,31.0,31.0,30.0,30.5,30.5,32875
1997-02-14,32.0,33.0,31.5,32.0,32.0,45250
1997-02-18,33.0,35.0,32.5,34.5,34.5,80450
1997-02-19,34.52000045776367,35.0,34.0,35.0,35.0,49350
1997-02-20,35.0,39.0,34.5,37.5,37.5,159825
1997-02-21,37.52000045776367,41.5,37.0,39.0,39.0,133575
1997-02-24,40.5,40.5,39.5,39.5,39.5,3600
1997-02-25,39.5,40.5,39.5,39.5,39.5,3600
1997-02-26,37.0,39.5,35.5,36.0,36.0,24100
1997-02-27,36.5,36.5,33.0,36.0,36.0,10550
1997-02-28,36.0,36.0,33.0,35.0,35.0,10475
1997-03-03,35.0,35.0,33.0,33.5,33.5,16875
1997-03-04,35.0,35.0,31.0,33.0,33.0,23975
1997-03-05,31.520000457763672,33.0,30.0,32.0,32.0,12850
1997-03-06,27.0,33.0,27.0,32.0,32.0,68075
1997-03-07,32.0,32.0,30.5,31.0,31.0,51850
1997-03-10,32.0,37.5,32.0,34.0,34.0,43975
1997-03-11,34.0,38.0,32.5,34.0,34.0,32100
1997-03-12,35.5,35.5,33.0,34.0,34.0,8075
1997-03-13,34.0,36.0,34.0,36.0,36.0,2100
1997-03-14,35.0,36.0,34.5,36.0,36.0,11000
1997-03-17,34.52000045776367,36.0,33.0,34.5,34.5,7975
1997-03-18,33.52000045776367,34.0,32.0,32.0,32.0,20925
1997-03-19,32.5,32.5,29.5,30.0,30.0,15550
1997-03-20,30.0,32.5,30.0,32.0,32.0,26600
1997-03-21,30.760000228881836,33.0,30.5,33.0,33.0,14825
1997-03-24,33.5,33.5,32.0,33.0,33.0,17725
1997-03-25,32.0,33.0,29.0,30.0,30.0,23050
1997-03-26,31.0,31.0,28.5,30.0,30.0,51150
1997-03-27,29.0,30.0,28.25200080871582,28.5,28.5,20000
1997-03-31,28.0,29.5,24.5,25.5,25.5,18275
1997-04-01,24.520000457763672,26.5,24.5,26.5,26.5,7125
1997-04-02,24.520000457763672,25.5,23.0,24.0,24.0,17150
1997-04-03,23.0,25.5,23.0,25.5,25.5,7550
1997-04-04,27.5,27.5,27.5,27.5,27.5,0
1997-04-07,26.0,28.5,26.0,27.5,27.5,12575
1997-04-08,28.520000457763672,31.0,28.0,31.0,31.0,27325
1997-04-09,31.0,34.5,31.0,34.0,34.0,48025
1997-04-10,33.0,33.0,33.0,33.0,33.0,0
1997-04-11,33.0,36.5,33.0,36.0,36.0,34350
1997-04-14,34.0,35.0,33.0,34.0,34.0,51825
1997-04-15,33.25199890136719,35.0,33.25199890136719,35.0,35.0,31375
1997-04-16,34.0,35.0,33.0,34.0,34.0,37000
1997-04-17,32.52000045776367,36.0,32.5,36.0,36.0,31825
1997-04-18,34.0,34.0,34.0,34.0,34.0,0
1997-04-21,33.2400016784668,34.5,32.5,34.0,34.0,26450
1997-04-22,32.52000045776367,35.0,32.5,34.0,34.0,22025
1997-04-23,35.0,35.5,33.5,35.25199890136719,35.25199890136719,30150
1997-04-24,35.0,37.0,34.0,36.0,36.0,42675
1997-04-25,35.52000045776367,37.0,34.5,36.0,36.0,15650
1997-04-28,36.5,36.5,34.0,34.0,34.0,44700
1997-04-29,34.0,36.0,34.0,34.5,34.5,26675
1997-04-30,34.52000045776367,36.0,34.0,35.5,35.5,56225
1997-05-01,33.5,33.5,33.5,33.5,33.5,0
1997-05-02,33.0,34.5,32.5,33.25199890136719,33.25199890136719,16275
1997-05-05,32.52000045776367,33.5,32.5,33.5,33.5,650
1997-05-06,32.52000045776367,33.0,30.0,30.0,30.0,32125
1997-05-07,31.0,31.5,28.5,31.5,31.5,13050
1997-05-08,31.520000457763672,32.0,30.0,31.5,31.5,12100
1997-05-09,31.0,32.0,30.0,31.0,31.0,36150
1997-05-12,31.0,32.0,31.0,32.0,32.0,13075
1997-05-13,31.0,32.0,31.0,32.0,32.0,12925
1997-05-14,32.0,32.0,31.0,31.0,31.0,10375
1997-05-15,31.0,31.5,30.0,31.5,31.5,12075
1997-05-16,31.520000457763672,32.0,31.5,32.0,32.0,1125
1997-05-19,31.760000228881836,33.0,31.5,33.0,33.0,4150
1997-05-20,31.520000457763672,34.5,31.5,34.0,34.0,8425
1997-05-21,33.0,36.0,33.0,34.5,34.5,25650
1997-05-22,36.0,36.5,35.0,35.0,35.0,49300
1997-05-23,36.5,36.5,35.0,36.5,36.5,33475
1997-05-27,36.52000045776367,39.0,35.5,39.0,39.0,44625
1997-05-28,37.0,39.5,37.0,38.75199890136719,38.75199890136719,53350
1997-05-29,38.52000045776367,40.0,38.5,39.0,39.0,52025
1997-05-30,39.0,42.0,38.0,42.0,42.0,47225
1997-06-02,40.0,44.0,40.0,42.5,42.5,49750
1997-06-03,43.0,49.0,42.0,47.0,47.0,116625
1997-06-04,46.52000045776367,50.0,46.5,49.5,49.5,59175
1997-06-05,51.0,53.0,49.5,50.5,50.5,105600
