Date,Open,High,Low,Close,Adj Close,Volume
1980-08-27,0.0,14.0,13.5,13.5,11.87094497680664,1700
1980-08-28,0.0,14.5,13.75,13.75,12.090780258178711,5800
1980-08-29,0.0,13.5,13.0,13.0,11.431281089782715,600
1980-09-02,0.0,14.25,13.5,13.5,11.87094497680664,1100
1980-09-03,0.0,14.0,13.25,13.25,11.651110649108887,300
1980-09-04,0.0,14.0,13.5,13.5,11.87094497680664,700
1980-09-05,0.0,14.0,13.5,13.5,11.87094497680664,400
1980-09-08,0.0,14.0,13.5,13.5,11.87094497680664,100
1980-09-09,0.0,14.0,13.5,13.5,11.87094497680664,100
1980-09-10,0.0,13.75,13.25,13.25,11.651110649108887,900
1980-09-11,0.0,13.75,13.25,13.25,11.651110649108887,600
1980-09-12,0.0,14.0,13.5,13.5,11.87094497680664,2500
1980-09-15,0.0,13.75,13.25,13.25,11.651110649108887,1000
1980-09-16,0.0,13.75,13.25,13.25,11.651110649108887,4600
1980-09-17,0.0,14.25,13.75,13.75,12.090780258178711,5300
1980-09-18,0.0,14.0,13.75,13.75,12.090780258178711,3100
1980-09-19,0.0,15.0,14.25,14.25,12.53044319152832,2200
1980-09-22,0.0,16.75,16.25,16.25,14.289104461669922,4900
1980-09-23,0.0,17.0,16.5,16.5,14.50893497467041,3400
1980-09-24,0.0,16.5,16.0,16.0,14.069270133972168,7500
1980-09-25,0.0,16.5,15.75,15.75,13.849437713623047,3500
1980-09-26,0.0,16.25,15.5,15.5,13.629606246948242,1500
1980-09-29,0.0,16.25,15.75,15.75,13.849437713623047,1000
1980-09-30,0.0,16.0,15.75,15.75,13.849437713623047,2500
1980-10-01,0.0,16.25,15.75,15.75,13.849437713623047,1500
1980-10-02,0.0,16.25,16.0,16.0,14.069270133972168,2100
1980-10-03,0.0,16.0,15.5,15.5,13.629606246948242,2700
1980-10-06,0.0,16.5,16.0,16.0,14.069270133972168,1500
1980-10-07,0.0,17.0,16.25,16.25,14.289104461669922,1300
1980-10-08,0.0,18.25,17.5,17.5,15.388263702392578,2800
1980-10-09,0.0,21.0,20.25,20.25,17.80641746520996,11300
1980-10-10,0.0,18.5,17.75,17.75,15.608097076416016,16700
1980-10-13,0.0,18.75,18.25,18.25,16.04776382446289,1900
1980-10-14,0.0,19.0,18.75,18.75,16.487428665161133,2900
1980-10-15,0.0,20.0,19.25,19.25,16.927093505859375,5400
1980-10-16,0.0,19.5,19.0,19.0,16.707263946533203,1400
1980-10-17,0.0,18.0,17.5,17.5,15.388263702392578,3400
1980-10-20,0.0,18.0,17.5,17.5,15.388263702392578,500
1980-10-21,0.0,17.5,17.25,17.25,15.168431282043457,1400
1980-10-22,0.0,18.0,17.5,17.5,15.388263702392578,900
1980-10-23,0.0,18.25,17.5,17.5,15.388263702392578,3400
1980-10-24,0.0,18.25,17.75,17.75,15.608097076416016,700
1980-10-27,0.0,18.0,17.25,17.25,15.168431282043457,3000
1980-10-28,0.0,18.0,17.25,17.25,15.168431282043457,3000
1980-10-29,0.0,17.5,17.0,17.0,14.948600769042969,2800
1980-10-30,0.0,16.25,16.0,16.0,14.069270133972168,1800
1980-10-31,0.0,16.5,16.0,16.0,14.069270133972168,3300
1980-11-03,16.0,16.0,16.0,16.0,14.069270133972168,0
1980-11-05,0.0,17.25,16.75,16.75,14.728760719299316,1600
1980-11-06,0.0,16.25,15.5,15.5,13.629606246948242,4600
1980-11-07,0.0,16.25,15.75,15.75,13.849437713623047,200
1980-11-10,0.0,16.25,15.75,15.75,13.849437713623047,200
1980-11-11,0.0,18.25,17.25,17.25,15.168431282043457,5400
1980-11-12,0.0,18.75,18.25,18.25,16.04776382446289,2500
1980-11-13,0.0,19.75,19.25,19.25,16.927093505859375,2300
1980-11-14,0.0,20.75,20.0,20.0,17.586591720581055,5500
1980-11-17,0.0,20.25,19.5,19.5,17.146923065185547,2600
1980-11-18,0.0,20.5,20.0,20.0,17.586591720581055,2300
1980-11-19,0.0,20.75,20.0,20.0,17.586591720581055,700
1980-11-20,0.0,20.5,20.0,20.0,17.586591720581055,4400
1980-11-21,0.0,20.5,19.75,19.75,17.366756439208984,2400
1980-11-24,0.0,20.5,19.75,19.75,17.366756439208984,200
1980-11-25,0.0,20.25,19.75,19.75,17.366756439208984,1200
1980-11-26,0.0,20.0,19.75,19.75,17.366756439208984,2100
1980-11-28,0.0,19.5,19.0,19.0,16.707263946533203,900
1980-12-01,0.0,19.0,18.0,18.0,15.827929496765137,2200
1980-12-02,0.0,18.5,18.0,18.0,15.827929496765137,100
1980-12-03,0.0,18.5,18.0,18.0,15.827929496765137,100
1980-12-04,0.0,19.5,18.75,18.75,16.487428665161133,4700
1980-12-05,0.0,18.75,18.25,18.25,16.04776382446289,1600
1980-12-08,0.0,18.5,17.75,17.75,15.608097076416016,900
1980-12-09,17.75,17.75,17.75,17.75,15.608097076416016,0
1980-12-10,0.0,18.5,18.0,18.0,15.827929496765137,100
1980-12-11,18.0,18.0,18.0,18.0,15.827929496765137,0
1980-12-12,0.0,17.25,16.5,16.5,14.50893497467041,2000
1980-12-15,0.0,17.0,16.25,16.25,14.289104461669922,1400
1980-12-16,16.25,16.25,16.25,16.25,14.289104461669922,0
1980-12-17,16.25,16.25,16.25,16.25,14.289104461669922,0
1980-12-18,16.25,16.25,16.25,16.25,14.289104461669922,0
1980-12-19,0.0,17.0,16.25,16.25,14.289104461669922,100
1980-12-22,0.0,17.0,16.25,16.25,14.289104461669922,600
1980-12-23,16.25,16.25,16.25,16.25,14.289104461669922,0
1980-12-24,0.0,17.25,16.75,16.75,14.728760719299316,1200
1980-12-26,0.0,17.0,16.5,16.5,14.50893497467041,100
1980-12-29,0.0,17.0,16.5,16.5,14.50893497467041,1000
1980-12-30,0.0,17.0,16.25,16.25,14.289104461669922,100
1980-12-31,0.0,17.0,16.75,16.75,14.728760719299316,200
1981-01-02,0.0,18.0,17.5,17.5,15.388263702392578,2100
1981-01-05,0.0,18.0,17.5,17.5,15.388263702392578,100
1981-01-06,0.0,18.5,18.0,18.0,15.827929496765137,4400
1981-01-07,0.0,17.75,17.25,17.25,15.168431282043457,1000
1981-01-08,0.0,18.0,17.5,17.5,15.388263702392578,100
1981-01-09,0.0,18.25,18.0,18.0,15.827929496765137,2500
1981-01-12,0.0,18.5,18.25,18.25,16.04776382446289,3600
1981-01-13,0.0,18.5,18.0,18.0,15.827929496765137,800
1981-01-14,0.0,18.25,18.0,18.0,15.827929496765137,300
1981-01-15,0.0,18.25,18.0,18.0,15.827929496765137,700
1981-01-16,0.0,20.0,19.5,19.5,17.146923065185547,2300
1981-01-19,0.0,20.0,19.5,19.5,17.146923065185547,6600
1981-01-20,0.0,19.75,19.25,19.25,16.927093505859375,5600
1981-01-21,0.0,19.25,18.75,18.75,16.487428665161133,4300
1981-01-22,0.0,19.0,18.5,18.5,16.267595291137695,400
1981-01-23,0.0,19.0,18.5,18.5,16.267595291137695,200
1981-01-26,0.0,19.25,19.0,19.0,16.707263946533203,1100
1981-01-27,0.0,19.5,19.25,19.25,16.927093505859375,1000
1981-01-28,0.0,19.75,19.25,19.25,16.927093505859375,1400
1981-01-29,0.0,20.0,19.75,19.75,17.366756439208984,4200
1981-01-30,0.0,20.25,20.0,20.0,17.586591720581055,3500
1981-02-02,0.0,20.0,19.75,19.75,17.366756439208984,2600
1981-02-03,0.0,21.0,20.5,20.5,18.02625274658203,9900
1981-02-04,0.0,21.5,21.0,21.0,18.465923309326172,1400
1981-02-05,0.0,21.5,21.25,21.25,18.68575096130371,2900
1981-02-06,0.0,21.5,21.25,21.25,18.68575096130371,3200
1981-02-09,0.0,21.5,21.25,21.25,18.68575096130371,4900
1981-02-10,0.0,22.5,22.25,22.25,19.565080642700195,8100
1981-02-11,0.0,22.25,22.0,22.0,19.345247268676758,3500
1981-02-12,0.0,22.25,22.0,22.0,19.345247268676758,7700
1981-02-13,0.0,22.25,22.0,22.0,19.345247268676758,6200
1981-02-17,0.0,22.5,22.0,22.0,19.345247268676758,4400
1981-02-18,0.0,21.75,21.25,21.25,18.68575096130371,7200
1981-02-19,0.0,22.0,21.25,21.25,18.68575096130371,2500
1981-02-20,0.0,21.75,21.25,21.25,18.68575096130371,2500
1981-02-23,0.0,21.5,21.25,21.25,18.68575096130371,2100
1981-02-24,0.0,21.75,21.5,21.5,18.90558433532715,1600
1981-02-25,0.0,21.75,21.5,21.5,18.90558433532715,800
1981-02-26,0.0,22.0,21.5,21.5,18.90558433532715,500
1981-02-27,0.0,22.0,21.5,21.5,18.90558433532715,9800
1981-03-02,0.0,22.25,21.75,21.75,19.125417709350586,2500
1981-03-03,0.0,22.25,21.5,21.5,18.90558433532715,3200
1981-03-04,0.0,21.5,21.0,21.0,18.465923309326172,1600
1981-03-05,0.0,21.25,20.75,20.75,18.246082305908203,1300
1981-03-06,0.0,20.5,20.0,20.0,17.586591720581055,3100
1981-03-09,0.0,20.5,20.0,20.0,17.586591720581055,800
1981-03-10,0.0,20.5,20.0,20.0,17.586591720581055,2000
1981-03-11,0.0,20.5,20.25,20.25,17.80641746520996,700
1981-03-12,0.0,20.5,20.0,20.0,17.586591720581055,600
1981-03-13,0.0,20.0,19.5,19.5,17.146923065185547,1800
1981-03-16,0.0,20.25,20.0,20.0,17.586591720581055,1200
