Date,Open,High,Low,Close,Adj Close,Volume
1999-09-29,1060.0,1460.0,1000.0,1059.6875,1059.6875,779600
1999-09-30,1023.75,1087.5,860.0,892.5,892.5,241600
1999-10-01,800.0,1050.0,780.0,1005.0,1005.0,133400
1999-10-04,1040.0,1226.25,940.0,1140.0,1140.0,112100
1999-10-05,1155.0,1213.75,1110.0,1150.0,1150.0,81100
1999-10-06,1150.0,1181.25,1105.0,1120.0,1120.0,30300
1999-10-07,1127.5,1164.375,1105.0,1108.75,1108.75,31500
1999-10-08,1107.5,1115.0,990.0,1055.0,1055.0,21800
1999-10-11,1057.5,1180.0,1032.5,1147.5,1147.5,13800
1999-10-12,1113.75,1305.0,1113.75,1250.0,1250.0,52000
1999-10-13,1220.0,1285.0,1220.0,1242.5,1242.5,27600
1999-10-14,1260.0,1340.0,1180.0,1327.5,1327.5,23000
1999-10-15,1230.0,1390.0,1221.25,1322.5,1322.5,24400
1999-10-18,1310.0,1385.0,1222.5,1320.0,1320.0,32100
1999-10-19,1350.0,1355.0,1262.5,1277.5,1277.5,16500
1999-10-20,1301.25,1486.875,1300.0,1447.5,1447.5,32100
1999-10-21,1372.5,1855.0,1365.0,1720.0,1720.0,59200
1999-10-22,1758.75,1810.0,1567.5,1670.0,1670.0,14800
1999-10-25,1718.75,1720.0,1500.0,1597.5,1597.5,27900
1999-10-26,1660.0,1700.0,1590.0,1635.0,1635.0,27400
1999-10-27,1600.0,1655.0,1475.0,1570.0,1570.0,15000
1999-10-28,1603.75,1677.5,1588.75,1635.0,1635.0,21400
1999-10-29,1660.0,1872.5,1649.375,1847.5,1847.5,36200
1999-11-01,1802.5,1942.5,1760.0,1765.0,1765.0,17900
1999-11-02,1760.0,1820.0,1647.5,1760.0,1760.0,11300
1999-11-03,1805.0,1810.0,1612.5,1780.0,1780.0,11900
1999-11-04,1775.0,1802.5,1732.5,1770.0,1770.0,9300
1999-11-05,1818.75,2012.5,1780.0,1932.5,1932.5,36300
1999-11-08,1940.0,2360.0,1922.5,2300.0,2300.0,28800
1999-11-09,2360.0,2510.0,2100.0,2398.75,2398.75,28400
1999-11-10,2082.5,2350.0,2046.25,2270.0,2270.0,33500
1999-11-11,2242.5,2400.0,2080.0,2105.0,2105.0,16600
1999-11-12,2078.75,2080.0,1790.0,1920.0,1920.0,42100
1999-11-15,1900.0,2176.25,1850.0,2160.0,2160.0,14000
1999-11-16,2200.0,2200.0,2045.0,2130.0,2130.0,14500
1999-11-17,2110.0,2301.25,2110.0,2280.0,2280.0,14800
