Date,Open,High,Low,Close,Adj Close,Volume
1994-04-07,4.5625,4.5625,4.5625,4.5625,2.7074055671691895,9600
1994-04-08,4.59375,4.59375,4.59375,4.59375,2.725950241088867,8400
1994-04-11,4.5625,4.6875,4.5625,4.6875,2.781580924987793,75600
1994-04-12,4.5625,4.625,4.5625,4.625,2.744493007659912,16000
1994-04-13,4.625,4.625,4.625,4.625,2.744493007659912,0
1994-04-14,4.75,4.75,4.75,4.75,2.8186686038970947,1200
1994-04-15,4.5625,4.625,4.53125,4.625,2.744493007659912,168400
1994-04-18,4.5625,4.75,4.53125,4.5625,2.7074055671691895,120400
1994-04-19,4.6875,4.6875,4.6875,4.6875,2.781580924987793,400
1994-04-20,4.75,4.75,4.75,4.75,2.8186686038970947,3200
1994-04-21,4.625,4.75,4.625,4.75,2.8186686038970947,16800
1994-04-22,4.625,4.75,4.625,4.75,2.8186686038970947,2000
1994-04-25,4.75,4.75,4.75,4.75,2.8186686038970947,2000
1994-04-26,4.75,4.875,4.75,4.875,2.8928446769714355,2000
1994-04-28,4.875,4.875,4.6875,4.6875,2.781580924987793,2000
1994-04-29,4.6875,5.0625,4.6875,4.8125,2.8557567596435547,19600
1994-05-02,5.0,5.0,5.0,5.0,2.9670217037200928,2000
1994-05-03,4.75,5.0625,4.75,5.0625,3.0041089057922363,39600
1994-05-04,5.0625,5.0625,4.8125,4.9375,2.9299328327178955,19600
1994-05-05,5.0625,5.0625,5.0625,5.0625,3.0041089057922363,2800
1994-05-06,5.0625,5.0625,4.875,4.875,2.8928446769714355,8400
1994-05-09,5.0625,5.0625,4.875,5.0625,3.0041089057922363,34000
1994-05-10,5.0,5.5,5.0,5.5,3.263720989227295,66800
1994-05-11,5.25,5.5625,5.25,5.25,3.115372657775879,14000
1994-05-12,5.25,5.625,5.25,5.625,3.337897777557373,40400
1994-05-13,5.625,5.625,5.3125,5.3125,3.1524579524993896,14800
1994-05-16,5.4375,5.4375,5.3125,5.4375,3.226634979248047,17600
1994-05-17,5.3125,5.5,5.3125,5.5,3.263720989227295,37200
1994-05-18,5.3125,5.5,5.3125,5.34375,3.1710023880004883,27200
1994-05-19,5.5625,5.625,5.4375,5.59375,3.3193538188934326,49600
1994-05-20,5.75,6.25,5.5625,6.0,3.5604236125946045,103200
1994-05-23,6.25,6.4375,6.0,6.125,3.6346006393432617,30400
1994-05-24,6.375,6.75,6.25,6.75,4.005478858947754,54800
1994-05-25,6.625,7.0,6.625,6.75,4.005478858947754,82400
1994-05-26,6.875,7.125,6.75,6.75,4.005478858947754,30800
1994-05-27,6.9375,7.0,6.75,6.9375,4.116740703582764,20800
1994-05-31,7.0,7.0625,6.75,7.0625,4.190917015075684,7600
1994-06-01,7.0625,7.0625,6.875,6.875,4.079653739929199,30000
1994-06-02,6.875,7.0,6.875,6.875,4.079653739929199,16000
1994-06-03,6.875,7.0,6.875,7.0,4.153828144073486,24400
1994-06-06,6.75,7.0,6.75,6.875,4.079653739929199,14000
1994-06-07,7.0,7.0,6.75,7.0,4.153828144073486,7600
1994-06-08,6.75,7.0,6.75,6.75,4.005478858947754,27600
1994-06-09,6.6875,6.6875,6.625,6.625,3.931302309036255,3200
1994-06-10,6.625,6.8125,6.625,6.75,4.005478858947754,44800
1994-06-13,6.875,6.875,6.625,6.875,4.079653739929199,9200
1994-06-14,6.875,6.875,6.625,6.875,4.079653739929199,21600
1994-06-15,6.75,6.75,6.75,6.75,4.005478858947754,8000
1994-06-16,6.625,6.9375,6.625,6.9375,4.116740703582764,12000
1994-06-17,6.625,6.75,6.625,6.75,4.005478858947754,23200
1994-06-20,6.875,6.9375,6.875,6.9375,4.116740703582764,3200
1994-06-21,6.625,6.875,6.625,6.875,4.079653739929199,7600
1994-06-22,6.875,6.875,6.5,6.6875,3.9683897495269775,17600
1994-06-23,6.8125,6.8125,6.8125,6.8125,4.042566299438477,800
1994-06-24,6.5,6.6875,6.5,6.5,3.8571248054504395,20400
1994-06-27,6.6875,6.6875,6.5,6.5,3.8571248054504395,44000
1994-06-28,6.5,6.6875,6.5,6.59375,3.9127590656280518,10400
1994-06-29,6.6875,6.6875,6.6875,6.6875,3.9683897495269775,4000
1994-06-30,6.59375,6.59375,6.5,6.5,3.8571248054504395,1200
1994-07-01,6.6875,6.6875,6.5,6.5,3.8571248054504395,16000
1994-07-05,6.6875,6.6875,6.4375,6.625,3.931302309036255,38000
1994-07-06,6.625,6.625,6.4375,6.625,3.931302309036255,8800
1994-07-07,6.4375,6.625,6.4375,6.625,3.931302309036255,50400
1994-07-08,6.625,6.625,6.625,6.625,3.931302309036255,2000
1994-07-11,6.625,6.625,6.4375,6.5625,3.8942148685455322,19200
1994-07-12,6.4375,6.5625,6.4375,6.5625,3.8942148685455322,22000
1994-07-13,6.4375,6.5625,6.4375,6.5625,3.8942148685455322,8400
1994-07-14,6.5625,6.5625,6.5625,6.5625,3.8942148685455322,8400
1994-07-15,6.4375,6.5625,6.4375,6.4375,3.8200368881225586,20000
1994-07-18,6.5625,6.5625,6.4375,6.5625,3.8942148685455322,34800
1994-07-19,6.5625,6.5625,6.4375,6.5625,3.8942148685455322,7600
1994-07-20,6.5625,6.625,6.4375,6.625,3.931302309036255,58400
1994-07-21,6.5,7.0625,6.5,7.0625,4.190917015075684,55200
1994-07-22,7.3125,8.0,7.0,8.0,4.747232437133789,102000
1994-07-25,8.125,8.25,7.875,7.875,4.67305850982666,46000
1994-07-26,8.125,8.125,7.75,8.0,4.747232437133789,94000
1994-07-27,8.0,8.0,7.75,7.75,4.59888219833374,32800
1994-07-28,7.9375,7.9375,7.75,7.75,4.59888219833374,14800
1994-07-29,7.9375,7.9375,7.75,7.9375,4.710145473480225,26800
1994-08-01,7.9375,7.9375,7.9375,7.9375,4.710145473480225,2000
1994-08-02,7.9375,7.9375,7.75,7.875,4.67305850982666,26400
1994-08-03,7.875,8.0,7.75,7.875,4.67305850982666,26000
1994-08-04,8.0,8.125,8.0,8.125,4.821409702301025,1200
1994-08-05,8.0,8.25,8.0,8.125,4.821409702301025,84800
1994-08-08,7.875,8.375,7.875,8.375,4.9697585105896,86400
1994-08-09,8.5,8.875,8.375,8.78125,5.21082878112793,75200
1994-08-10,8.875,8.9375,8.75,8.9375,5.303548812866211,28800
1994-08-11,9.125,9.125,8.78125,9.0,5.340636730194092,109200
1994-08-12,9.125,9.125,8.9375,8.9375,5.303548812866211,10000
1994-08-15,8.9375,9.0625,8.5625,8.5625,5.081022262573242,82000
1994-08-16,8.5625,8.875,8.5,8.5625,5.081022262573242,44400
1994-08-17,8.5,8.875,8.5,8.8125,5.229372024536133,15200
1994-08-18,9.0,9.0,8.5625,8.625,5.118110179901123,5200
1994-08-19,9.0,9.0,8.625,8.625,5.118110179901123,20800
1994-08-22,8.75,8.875,8.75,8.8125,5.229372024536133,32800
1994-08-23,8.71875,9.125,8.71875,9.125,5.414811134338379,118800
1994-08-24,8.875,9.125,8.875,9.0625,5.377725124359131,14400
1994-08-25,8.9375,9.0625,8.9375,8.9375,5.303548812866211,16000
1994-08-26,9.0,9.125,9.0,9.125,5.414811134338379,67600
1994-08-29,9.125,9.125,8.9375,9.125,5.414811134338379,72000
1994-08-30,8.8125,9.0625,8.8125,9.0625,5.377725124359131,24000
1994-08-31,9.0625,9.0625,8.8125,8.8125,5.229372024536133,13600
1994-09-01,8.8125,8.875,8.8125,8.875,5.266458034515381,17200
1994-09-02,9.0,9.0,8.8125,8.8125,5.229372024536133,9200
1994-09-06,8.75,9.0,8.75,8.8125,5.229372024536133,16000
1994-09-07,8.8125,9.0,8.625,8.625,5.118110179901123,28800
1994-09-08,8.875,9.0,8.625,8.6875,5.155198097229004,47200
1994-09-09,8.6875,8.9375,8.6875,8.9375,5.303548812866211,26800
1994-09-12,8.6875,8.9375,8.6875,8.9375,5.303548812866211,12800
1994-09-13,8.6875,8.75,8.6875,8.75,5.192288398742676,21600
1994-09-14,8.9375,9.0,8.6875,9.0,5.340636730194092,9200
1994-09-15,9.0,9.0,8.75,9.0,5.340636730194092,13600
1994-09-16,8.75,9.0,8.75,9.0,5.340636730194092,6800
1994-09-19,9.0,9.0,8.875,8.875,5.266458034515381,21200
