Date,Open,High,Low,Close,Adj Close,Volume
1996-04-11,5.0,5.125,4.5,5.125,5.096916198730469,325300
1996-04-12,4.875,5.125,4.5,4.5,4.475341320037842,186200
1996-04-15,4.5,5.0,4.5,4.5,4.475341320037842,38100
1996-04-16,4.375,4.875,4.125,4.375,4.35102653503418,70600
1996-04-17,4.125,4.625,4.125,4.625,4.599655628204346,70300
1996-04-18,4.375,4.375,4.375,4.375,4.35102653503418,5200
1996-04-19,4.5,4.5,4.375,4.375,4.35102653503418,2500
1996-04-22,4.375,4.75,4.25,4.5,4.475341320037842,32200
1996-04-23,4.5,4.75,4.0,4.375,4.35102653503418,49500
1996-04-24,4.125,4.3125,4.125,4.125,4.102396011352539,44100
1996-04-25,4.25,4.25,4.125,4.125,4.102396011352539,7900
1996-04-26,4.125,4.5,4.125,4.5,4.475341320037842,13400
1996-04-29,4.5,4.5,4.125,4.25,4.226710319519043,14800
1996-04-30,4.5,4.75,4.25,4.75,4.723971366882324,75800
1996-05-01,4.75,5.0,4.5,4.75,4.723971366882324,50900
1996-05-02,4.875,5.0,4.6875,4.875,4.848286151885986,115700
1996-05-03,4.9375,5.75,4.6875,5.5,5.469861030578613,108300
1996-05-06,5.375,5.75,5.25,5.25,5.221231937408447,21200
1996-05-07,5.25,5.75,5.25,5.75,5.7184906005859375,53600
1996-05-08,5.25,5.5,5.125,5.375,5.345544815063477,49000
1996-05-09,5.5,5.625,5.25,5.625,5.594175815582275,44800
1996-05-10,5.25,5.625,5.25,5.625,5.594175815582275,35400
1996-05-13,5.625,5.625,5.375,5.375,5.345544815063477,86200
1996-05-14,5.5,5.625,5.25,5.5,5.469861030578613,111600
1996-05-15,5.5,7.0,5.5,7.0,6.961641788482666,83600
1996-05-16,7.0,8.375,6.75,8.25,8.204792022705078,248100
1996-05-17,8.25,8.25,6.4375,7.25,7.21027135848999,154400
1996-05-20,7.25,7.25,6.625,7.0,6.961641788482666,62900
1996-05-21,7.0,7.375,6.625,6.75,6.713011741638184,103600
