Date,Open,High,Low,Close,Adj Close,Volume
1994-03-23,50.0,50.0,50.0,50.0,50.0,0
1994-03-24,47.5,47.5,47.5,47.5,47.5,0
1994-03-25,45.0,45.0,45.0,45.0,45.0,0
1994-03-28,45.0,45.0,45.0,45.0,45.0,0
1994-03-29,45.0,45.0,45.0,45.0,45.0,0
1994-03-30,45.0,45.0,45.0,45.0,45.0,0
1994-03-31,45.0,45.0,45.0,45.0,45.0,100
1994-04-04,45.0,45.0,45.0,45.0,45.0,0
1994-04-05,45.0,45.0,45.0,45.0,45.0,0
1994-04-06,45.0,45.0,45.0,45.0,45.0,0
1994-04-07,45.0,45.0,45.0,45.0,45.0,0
1994-04-08,45.0,45.0,45.0,45.0,45.0,0
1994-04-11,45.0,45.0,45.0,45.0,45.0,0
1994-04-12,45.0,45.0,45.0,45.0,45.0,0
1994-04-13,45.0,45.0,45.0,45.0,45.0,0
1994-04-14,35.0,35.0,35.0,35.0,35.0,0
1994-04-15,35.0,35.0,35.0,35.0,35.0,0
1994-04-18,35.0,35.0,35.0,35.0,35.0,0
1994-04-19,35.0,35.0,35.0,35.0,35.0,0
1994-04-20,45.0,45.0,45.0,45.0,45.0,0
1994-04-21,45.0,45.0,45.0,45.0,45.0,0
1994-04-22,45.0,45.0,45.0,45.0,45.0,0
1994-04-25,45.0,45.0,45.0,45.0,45.0,0
1994-04-26,45.0,45.0,45.0,45.0,45.0,0
1994-04-28,42.5,42.5,42.5,42.5,42.5,0
1994-04-29,42.5,42.5,42.5,42.5,42.5,0
1994-05-02,42.5,42.5,42.5,42.5,42.5,0
1994-05-03,42.5,42.5,42.5,42.5,42.5,0
1994-05-04,42.5,42.5,42.5,42.5,42.5,0
1994-05-05,42.5,42.5,42.5,42.5,42.5,0
1994-05-06,42.5,42.5,42.5,42.5,42.5,0
1994-05-09,42.5,42.5,42.5,42.5,42.5,0
1994-05-10,42.5,42.5,42.5,42.5,42.5,0
1994-05-11,45.0,45.0,45.0,45.0,45.0,0
1994-05-12,45.0,45.0,45.0,45.0,45.0,100
1994-05-13,45.0,45.0,45.0,45.0,45.0,0
1994-05-16,45.0,45.0,45.0,45.0,45.0,0
1994-05-17,45.0,45.0,45.0,45.0,45.0,100
1994-05-18,45.0,45.0,45.0,45.0,45.0,0
1994-05-19,45.0,45.0,45.0,45.0,45.0,100
1994-05-20,45.0,45.0,45.0,45.0,45.0,100
1994-05-23,45.0,45.0,45.0,45.0,45.0,0
1994-05-24,45.0,45.0,45.0,45.0,45.0,0
1994-05-25,45.0,45.0,45.0,45.0,45.0,0
1994-05-26,45.0,45.0,45.0,45.0,45.0,100
1994-05-27,45.0,45.0,45.0,45.0,45.0,0
1994-05-31,45.0,45.0,45.0,45.0,45.0,0
1994-06-01,45.0,45.0,45.0,45.0,45.0,0
1994-06-02,45.0,45.0,45.0,45.0,45.0,0
1994-06-03,45.0,45.0,45.0,45.0,45.0,0
1994-06-06,45.0,45.0,45.0,45.0,45.0,0
1994-06-07,45.0,45.0,45.0,45.0,45.0,0
1994-06-08,45.0,45.0,45.0,45.0,45.0,0
1994-06-09,43.75,43.75,43.75,43.75,43.75,100
1994-06-10,43.75,43.75,43.75,43.75,43.75,0
