Date,Open,High,Low,Close,Adj Close,Volume
1980-03-18,0.0,18191.490234375,15159.57421875,15159.57421875,15159.541015625,0
1980-03-19,0.0,17433.509765625,14401.595703125,14401.595703125,14401.5634765625,0
1980-03-20,14401.595703125,14401.595703125,14401.595703125,14401.595703125,14401.5634765625,0
1980-03-21,0.0,17433.509765625,14401.595703125,14401.595703125,14401.5634765625,0
1980-03-24,0.0,17433.509765625,14401.595703125,14401.595703125,14401.5634765625,0
1980-03-25,0.0,17433.509765625,14401.595703125,14401.595703125,14401.5634765625,0
1980-03-26,0.0,17433.509765625,14401.595703125,14401.595703125,14401.5634765625,0
1980-03-27,0.0,15159.57421875,12127.6591796875,12127.6591796875,12127.6328125,0
1980-03-28,0.0,15159.57421875,12127.6591796875,12127.6591796875,12127.6328125,0
1980-03-31,0.0,16675.53125,13643.6171875,13643.6171875,13643.5869140625,0
1980-04-01,0.0,16675.53125,13643.6171875,13643.6171875,13643.5869140625,0
1980-04-02,13643.6171875,13643.6171875,13643.6171875,13643.6171875,13643.5869140625,0
1980-04-03,13643.6171875,13643.6171875,13643.6171875,13643.6171875,13643.5869140625,0
1980-04-07,13643.6171875,13643.6171875,13643.6171875,13643.6171875,13643.5869140625,0
1980-04-08,13643.6171875,13643.6171875,13643.6171875,13643.6171875,13643.5869140625,0
1980-04-09,13643.6171875,13643.6171875,13643.6171875,13643.6171875,13643.5869140625,0
1980-04-10,13643.6171875,13643.6171875,13643.6171875,13643.6171875,13643.5869140625,0
1980-04-11,13643.6171875,13643.6171875,13643.6171875,13643.6171875,13643.5869140625,0
1980-04-14,13643.6171875,13643.6171875,13643.6171875,13643.6171875,13643.5869140625,0
1980-04-15,13643.6171875,13643.6171875,13643.6171875,13643.6171875,13643.5869140625,0
1980-04-16,13643.6171875,13643.6171875,13643.6171875,13643.6171875,13643.5869140625,0
1980-04-17,0.0,15917.552734375,12885.638671875,12885.638671875,12885.6103515625,0
