Date,Open,High,Low,Close,Adj Close,Volume
1996-08-01,16.25,18.0,15.5,16.875,15.650036811828613,3440500
1996-08-02,17.0,18.5,17.0,18.5,17.157072067260742,356400
1996-08-05,18.0,20.5,18.0,19.5,18.08448028564453,336100
1996-08-06,20.0,20.0,18.5,19.0,17.620779037475586,227300
1996-08-07,19.0,19.5,19.0,19.25,17.852632522583008,90600
1996-08-08,19.5,19.5,18.75,19.125,17.736705780029297,115600
1996-08-09,18.75,19.5,18.75,19.25,17.852632522583008,74500
1996-08-12,19.0,19.5,19.0,19.5,18.08448028564453,148000
1996-08-13,19.5,19.5,18.25,19.0,17.620779037475586,73600
1996-08-14,19.0,19.0,18.0,18.375,17.041147232055664,144200
1996-08-15,18.0,18.5,18.0,18.0,16.693368911743164,85500
1996-08-16,18.25,20.75,18.0,20.75,19.243745803833008,108300
1996-08-19,21.0,21.5,20.0,20.0,18.548187255859375,144800
1996-08-20,20.0,20.5,19.5,20.375,18.895965576171875,172900
1996-08-21,20.5,20.5,19.75,20.0,18.548187255859375,112800
1996-08-22,20.25,23.0,19.75,22.75,21.09856605529785,192500
1996-08-23,23.0,26.0,22.375,25.875,23.996715545654297,191100
1996-08-26,26.0,27.75,25.25,25.25,23.417085647583008,297300
1996-08-27,25.875,25.875,23.25,24.0,22.25782585144043,202200
1996-08-28,25.25,25.75,24.625,25.0,23.18523406982422,161500
1996-08-29,25.25,27.25,25.0,27.0,25.04005241394043,87900
1996-08-30,27.0,27.0,26.25,26.375,24.460420608520508,56700
1996-09-03,25.625,27.0,24.875,26.875,24.92412757873535,120200
1996-09-04,27.25,27.25,25.25,26.25,24.344497680664062,88500
1996-09-05,26.5,26.75,25.75,26.5,24.57634735107422,53500
1996-09-06,26.75,26.75,26.0,26.0,24.11264419555664,42400
1996-09-09,25.875,27.25,25.875,27.125,25.155981063842773,75600
1996-09-10,27.25,29.0,26.5,29.0,26.894872665405273,196200
1996-09-11,29.0,29.25,28.5,29.0,26.894872665405273,291200
1996-09-12,29.0,29.25,28.5,29.25,27.126724243164062,32400
1996-09-13,29.25,31.875,28.75,31.625,29.329320907592773,102800
1996-09-16,31.5,33.5,31.375,32.875,30.488582611083984,292000
1996-09-17,33.625,33.625,31.75,33.0,30.604511260986328,358200
1996-09-18,33.375,35.25,33.0,35.0,32.45933151245117,166500
1996-09-19,35.5,40.375,35.125,38.0,35.24155807495117,409200
1996-09-20,38.75,40.0,32.125,34.0,31.531919479370117,635000
1996-09-23,34.125,34.75,30.25,30.5,28.285985946655273,216600
1996-09-24,28.75,31.25,28.25,31.125,28.865615844726562,220100
1996-09-25,31.25,31.25,30.5,30.625,28.40191078186035,88400
1996-09-26,31.0,31.0,30.625,31.0,28.74968910217285,178300
1996-09-27,31.75,35.75,31.25,35.125,32.57524871826172,197500
1996-09-30,35.5,38.0,35.0,36.5,33.850440979003906,326700
1996-10-01,35.75,36.0,33.75,34.875,32.34339904785156,235900
1996-10-02,35.25,35.25,34.5,35.25,32.69118118286133,98800
1996-10-03,35.25,36.75,34.25,36.125,33.502662658691406,97200
1996-10-04,37.0,38.0,36.5,36.5,33.850440979003906,103900
1996-10-07,37.25,37.25,34.5,35.875,33.27080154418945,63300
1996-10-08,35.75,36.625,34.625,34.625,32.111549377441406,96600
1996-10-09,35.25,35.25,31.75,32.75,30.372655868530273,169500
1996-10-10,33.0,33.25,30.0,30.25,28.05413246154785,184800
1996-10-11,30.625,31.0,28.25,28.75,26.66301727294922,321100
1996-10-14,28.25,31.0,28.25,31.0,28.74968910217285,499900
1996-10-15,32.0,33.0,31.75,32.875,30.488582611083984,264300
1996-10-16,32.875,33.0,32.25,32.5,30.140804290771484,151900
1996-10-17,32.5,32.5,31.75,32.125,29.79302978515625,34000
1996-10-18,32.5,34.25,31.75,34.0,31.531919479370117,106300
1996-10-21,33.5,34.25,33.5,33.5,31.06821060180664,36200
1996-10-22,34.0,34.0,32.25,32.5,30.140804290771484,117900
1996-10-23,32.25,32.75,31.0,31.5,29.213396072387695,92400
1996-10-24,31.75,31.75,30.625,30.625,28.40191078186035,24400
1996-10-25,31.0,32.5,30.75,31.75,29.445249557495117,165500
1996-10-28,32.5,32.5,31.75,32.0,29.677099227905273,85700
1996-10-29,32.25,33.0,32.0,33.0,30.604511260986328,71000
1996-10-30,32.0,32.75,31.5,32.125,29.79302978515625,58400
1996-10-31,31.875,32.0,30.5,32.0,29.677099227905273,22400
1996-11-01,31.375,32.25,31.0,31.25,28.981542587280273,1836900
1996-11-04,31.5,31.75,31.125,31.1875,28.923582077026367,97200
1996-11-05,31.125,31.75,31.0,31.25,28.981542587280273,431200
1996-11-06,31.25,35.125,31.25,33.75,31.300073623657227,264500
1996-11-07,33.25,34.0,32.75,33.75,31.300073623657227,215800
1996-11-08,33.0,33.75,32.25,32.25,29.908954620361328,159300
1996-11-11,32.25,33.75,32.25,33.75,31.300073623657227,229200
1996-11-12,33.75,33.75,33.0,33.25,30.836362838745117,323000
1996-11-13,33.5,35.25,33.5,34.875,32.34339904785156,289500
1996-11-14,35.25,37.0,34.75,36.125,33.502662658691406,436600
1996-11-15,36.25,36.25,35.0,35.25,32.69118118286133,443800
1996-11-18,35.25,35.5,31.5,32.0,29.677099227905273,675000
1996-11-19,32.0,32.5,31.75,31.75,29.445249557495117,378400
1996-11-20,31.75,32.0,26.0,27.25,25.27190399169922,995600
1996-11-21,27.0,30.25,27.0,30.0,27.822282791137695,1056800
1996-11-22,30.25,31.25,29.25,30.375,28.170061111450195,202000
1996-11-25,30.75,31.75,30.75,31.75,29.445249557495117,351500
1996-11-26,31.0,31.75,31.0,31.25,28.981542587280273,177900
1996-11-27,31.75,31.75,31.25,31.25,28.981542587280273,164700
1996-11-29,31.25,32.25,31.25,31.5,29.213396072387695,61400
1996-12-02,31.5,33.75,31.5,33.0,30.604511260986328,137100
1996-12-03,34.5,35.25,34.25,34.5625,32.053585052490234,572000
1996-12-04,34.375,34.75,33.0,33.25,30.836362838745117,240200
1996-12-05,33.25,33.75,33.25,33.25,30.836362838745117,129500
1996-12-06,31.5,33.25,31.25,32.5,30.140804290771484,420500
1996-12-09,32.75,32.75,32.0,32.125,29.79302978515625,32100
1996-12-10,32.75,33.75,32.0625,33.75,31.300073623657227,183500
1996-12-11,32.0,33.25,31.5,33.25,30.836362838745117,164900
1996-12-12,33.75,35.0,33.0,34.125,31.647842407226562,348200
1996-12-13,33.875,34.25,33.0,33.125,30.720430374145508,79900
1996-12-16,33.125,34.75,33.125,34.5,31.995622634887695,120300
1996-12-17,33.375,33.375,29.5,29.75,27.590431213378906,312000
1996-12-18,30.0,31.5,29.875,30.375,28.170061111450195,314500
1996-12-19,30.5,30.5,24.125,28.25,26.199316024780273,1152500
1996-12-20,28.75,29.0,25.75,26.5,24.57634735107422,217400
1996-12-23,26.75,26.75,25.875,26.0,24.11264419555664,162800
1996-12-24,26.25,27.0,26.0,26.25,24.344497680664062,110800
1996-12-26,27.0,27.875,26.5,27.0,25.04005241394043,80600
1996-12-27,27.25,27.25,25.625,25.625,23.76486587524414,60500
1996-12-30,25.5,26.25,25.0,25.0,23.18523406982422,47200
1996-12-31,25.5,26.25,25.015625,26.0,24.11264419555664,144800
1997-01-02,26.25,27.625,25.75,27.0,25.04005241394043,330200
1997-01-03,28.0,29.0,27.5,29.0,26.894872665405273,273500
1997-01-06,29.0,32.0,28.5,30.5,28.285985946655273,547500
1997-01-07,30.25,33.0,30.25,32.5,30.140804290771484,151000
1997-01-08,32.75,34.25,32.5,34.0,31.531919479370117,385300
1997-01-09,34.25,34.25,31.75,31.75,29.445249557495117,142000
1997-01-10,30.75,31.75,29.875,31.375,29.097469329833984,206200
1997-01-13,31.75,32.0,30.1875,30.1875,27.996170043945312,43700
1997-01-14,29.875,31.0,29.25,29.25,27.126724243164062,149800
1997-01-15,29.75,29.75,28.375,29.0,26.894872665405273,119700
1997-01-16,29.0,29.125,28.0,28.5,26.431167602539062,126700
1997-01-17,28.75,30.25,28.5,30.0,27.822282791137695,194200
1997-01-20,30.25,30.625,29.5,29.75,27.590431213378906,123200
1997-01-21,30.25,30.25,29.25,29.375,27.242652893066406,31300
1997-01-22,29.75,29.75,28.5,28.625,26.547096252441406,66200
1997-01-23,28.75,28.75,25.5,26.75,24.808198928833008,313700
1997-01-24,27.25,28.25,26.75,28.0,25.96746063232422,360200
1997-01-27,28.125,30.25,27.5,30.0,27.822282791137695,416100
1997-01-28,29.5,30.0,28.0,28.25,26.199316024780273,95500
1997-01-29,28.25,29.0,27.75,28.0,25.96746063232422,120200
1997-01-30,28.25,28.75,27.75,28.375,26.31524085998535,262700
1997-01-31,28.75,28.75,27.75,28.5,26.431167602539062,150100
1997-02-03,28.0,28.0,27.0,27.5,25.503753662109375,123400
1997-02-04,28.0,28.0,26.0,27.25,25.27190399169922,164800
1997-02-05,27.25,28.375,27.0,27.75,25.735612869262695,262400
1997-02-06,28.75,29.0,27.5,28.125,26.08338737487793,149700
1997-02-07,28.125,28.125,26.25,27.0,25.04005241394043,208200
1997-02-10,26.375,26.75,23.5,23.75,22.025972366333008,491600
1997-02-11,25.25,26.0,22.75,24.0,22.25782585144043,996100
1997-02-12,25.375,26.0,24.75,25.5,23.648941040039062,1058200
1997-02-13,25.5,26.375,25.375,25.875,23.996715545654297,697300
1997-02-14,26.25,26.5,25.875,26.125,24.22857093811035,124000
1997-02-18,26.25,27.75,26.25,27.0,25.04005241394043,127200
1997-02-19,27.75,27.75,26.5,26.5,24.57634735107422,693000
1997-02-20,26.625,27.5,26.375,27.5,25.503753662109375,168200
1997-02-21,27.5,27.5,25.0,25.5,23.648941040039062,218300
1997-02-24,24.0,26.75,24.0,26.0,24.11264419555664,133100
1997-02-25,26.75,28.0,26.0,26.5,24.57634735107422,128100
1997-02-26,26.75,26.75,25.5,25.625,23.76486587524414,151500
1997-02-27,25.625,25.625,25.25,25.25,23.417085647583008,54900
1997-02-28,25.25,25.25,24.375,24.4375,22.663562774658203,168500
1997-03-03,25.125,25.125,22.75,22.75,21.09856605529785,112400
1997-03-04,23.375,23.5,22.0,22.875,21.214488983154297,281100
1997-03-05,23.125,24.25,22.5,23.875,22.14190101623535,188100
1997-03-06,24.0,26.25,23.625,25.5,23.648941040039062,139600
1997-03-07,26.375,26.375,23.5,24.25,22.48967742919922,72200
1997-03-10,24.25,24.5,21.5,21.875,20.287080764770508,192200
1997-03-11,21.0,21.625,20.25,21.125,19.591522216796875,408800
1997-03-12,20.5,21.25,20.125,21.0,19.475595474243164,325000
1997-03-13,21.25,21.25,20.625,20.875,19.35966682434082,627100
1997-03-14,20.5,21.125,19.75,19.8125,18.374300003051758,453000
1997-03-17,19.75,20.125,19.5,19.75,18.316333770751953,57500
1997-03-18,19.5,20.0,19.125,19.125,17.736705780029297,303400
1997-03-19,19.0,19.625,17.25,17.5,16.229665756225586,125200
1997-03-20,18.375,18.75,17.25,18.0,16.693368911743164,451300
1997-03-21,18.5,20.25,17.875,20.0,18.548187255859375,143900
1997-03-24,20.0,20.0,17.25,18.25,16.925220489501953,1486400
1997-03-25,18.625,19.0,17.5,17.875,16.57744026184082,200900
1997-03-26,18.75,20.0,17.75,20.0,18.548187255859375,390000
1997-03-27,20.0,21.75,19.875,20.25,18.78003692626953,503200
1997-03-31,21.125,21.125,19.75,19.75,18.316333770751953,175900
1997-04-01,19.75,20.25,19.625,20.125,18.664112091064453,217500
1997-04-02,20.125,20.125,19.25,19.25,17.852632522583008,83600
1997-04-03,19.875,19.875,19.0,19.25,17.852632522583008,53500
1997-04-04,18.875,21.625,18.875,21.125,19.591522216796875,214700
1997-04-07,21.75,24.25,21.0,23.5,21.79412078857422,245300
1997-04-08,25.0,26.0,23.0,23.375,21.678194046020508,354700
1997-04-09,23.75,23.75,21.75,22.875,21.214488983154297,145200
1997-04-10,23.0,23.375,22.375,23.0,21.330413818359375,128700
1997-04-11,22.5,23.75,21.75,22.625,20.982633590698242,164100
1997-04-14,22.75,22.75,21.25,22.25,20.634859085083008,143100
1997-04-15,22.75,23.5,22.5,22.875,21.214488983154297,107000
1997-04-16,22.25,23.75,22.25,23.5,21.79412078857422,132500
1997-04-17,23.25,23.625,22.5,22.875,21.214488983154297,118800
1997-04-18,22.75,23.25,21.625,22.25,20.634859085083008,271500
1997-04-21,20.0,20.125,18.0,18.25,16.925220489501953,1530400
1997-04-22,18.625,18.875,17.0,17.25,15.997811317443848,186400
1997-04-23,17.875,18.125,17.25,17.375,16.11373519897461,404300
1997-04-24,17.875,18.125,17.0,17.25,15.997811317443848,128400
1997-04-25,16.875,17.75,16.875,17.25,15.997811317443848,107800
1997-04-28,17.375,17.375,16.625,17.0,15.765959739685059,221700
1997-04-29,17.0,17.5,16.75,17.25,15.997811317443848,543400
1997-04-30,17.0,17.875,17.0,17.75,16.46151351928711,116400
1997-05-01,17.75,19.75,17.5,18.625,17.272998809814453,264000
1997-05-02,19.25,20.625,18.875,19.875,18.432260513305664,305200
1997-05-05,20.5,22.5,20.375,21.875,20.287080764770508,282000
1997-05-06,22.125,22.625,21.125,21.75,20.171152114868164,184300
1997-05-07,21.5,22.75,21.0,22.5,20.866710662841797,108200
1997-05-08,22.375,23.5,22.0,23.0,21.330413818359375,149900
1997-05-09,23.25,24.75,22.625,24.625,22.83745574951172,684500
1997-05-12,25.125,25.25,24.125,25.25,23.417085647583008,152900
1997-05-13,24.75,25.5,23.5,24.375,22.605600357055664,407700
1997-05-14,24.125,24.5,23.0,24.375,22.605600357055664,208500
1997-05-15,24.5,24.5,23.875,24.25,22.48967742919922,119000
1997-05-16,23.875,24.625,23.5,24.5,22.72153091430664,143400
1997-05-19,24.25,24.625,24.0,24.375,22.605600357055664,64900
1997-05-20,24.125,25.5,23.75,25.0,23.18523406982422,214000
1997-05-21,25.0,26.6875,24.375,25.625,23.76486587524414,280200
1997-05-22,26.0,27.0,25.375,25.375,23.533010482788086,370600
1997-05-23,26.25,27.125,25.75,25.875,23.996715545654297,654100
1997-05-27,26.0,26.125,24.375,24.375,22.605600357055664,360800
1997-05-28,24.375,24.5,22.125,24.125,22.373750686645508,461900
1997-05-29,24.375,24.375,23.75,23.75,22.025972366333008,570700
1997-05-30,23.375,23.5,23.125,23.125,21.44634246826172,202900
1997-06-02,23.125,23.25,22.0,22.75,21.09856605529785,620000
1997-06-03,22.625,22.625,20.625,22.5,20.866710662841797,281000
1997-06-04,22.5,24.0,22.375,23.875,22.14190101623535,141900
1997-06-05,24.25,25.125,24.0,24.625,22.83745574951172,176600
1997-06-06,25.25,26.0,25.0,25.375,23.533010482788086,96400
1997-06-09,25.5,25.5,24.625,25.25,23.417085647583008,193000
1997-06-10,25.0,25.25,25.0,25.125,23.301162719726562,209000
1997-06-11,25.0,26.375,24.75,26.0,24.11264419555664,437400
1997-06-12,26.0,26.25,25.375,25.5,23.648941040039062,437200
1997-06-13,25.125,25.5,25.0,25.5,23.648941040039062,345900
1997-06-16,25.375,25.75,25.25,25.625,23.76486587524414,687600
1997-06-17,25.5,26.125,25.4375,25.75,23.88079071044922,385600
1997-06-18,25.625,25.75,25.25,25.375,23.533010482788086,363500
1997-06-19,25.25,25.75,25.25,25.625,23.76486587524414,178800
1997-06-20,25.75,25.75,22.75,22.75,21.09856605529785,240000
1997-06-23,22.75,23.25,22.5,22.75,21.09856605529785,261200
1997-06-24,23.0,24.0,22.875,23.875,22.14190101623535,364300
1997-06-25,23.875,24.0,23.25,23.5,21.79412078857422,59400
1997-06-26,23.375,23.625,23.375,23.375,21.678194046020508,40700
1997-06-27,23.5,23.5,23.25,23.375,21.678194046020508,123600
1997-06-30,23.375,26.375,23.25,26.25,24.344497680664062,1118600
1997-07-01,24.125,24.875,23.75,24.375,22.605600357055664,707400
1997-07-02,24.75,25.5,24.375,25.5,23.648941040039062,146400
1997-07-03,25.125,25.25,24.5,24.5,22.72153091430664,112000
1997-07-07,25.0,25.0,24.5,24.8125,23.0113468170166,56600
1997-07-08,25.0,25.375,24.625,25.375,23.533010482788086,135900
1997-07-09,25.375,25.375,23.5,23.5625,21.85208511352539,127600
1997-07-10,22.625,22.625,20.25,21.25,19.707448959350586,1383200
1997-07-11,21.75,22.625,21.3125,21.75,20.171152114868164,668600
1997-07-14,21.625,21.875,20.75,20.75,19.243745803833008,360200
1997-07-15,21.0,21.0,20.125,20.5,19.011892318725586,444300
1997-07-16,20.125,21.0,20.125,20.625,19.12782096862793,213100
1997-07-17,20.75,22.25,20.5,21.5,19.939300537109375,740600
1997-07-18,21.0,22.375,21.0,22.125,20.518932342529297,613800
1997-07-21,22.5,22.625,21.75,21.75,20.171152114868164,786400
1997-07-22,21.75,22.0,21.25,21.34375,19.794395446777344,416800
1997-07-23,21.5,21.5,20.0,20.4375,18.953929901123047,615400
1997-07-24,20.5,20.5625,20.375,20.375,18.895965576171875,284100
1997-07-25,20.5,20.625,20.375,20.375,18.895965576171875,137700
1997-07-28,20.5,20.5,20.0,20.125,18.664112091064453,346100
1997-07-29,19.75,20.25,19.5,20.125,18.664112091064453,235800
1997-07-30,20.875,21.25,20.125,20.5,19.011892318725586,333500
1997-07-31,20.375,20.75,19.875,20.0,18.548187255859375,538300
1997-08-01,19.875,20.125,19.875,20.0,18.548187255859375,195700
1997-08-04,20.0,20.0,18.5,19.0625,17.678741455078125,546000
1997-08-05,19.0,19.125,17.875,18.875,17.504850387573242,435100
1997-08-06,19.125,19.375,18.625,19.375,17.968551635742188,672100
1997-08-07,19.25,19.5,19.0,19.125,17.736705780029297,944400
1997-08-08,19.0625,19.0625,18.625,18.75,17.388925552368164,394600
1997-08-11,17.125,17.75,14.5,15.0625,13.96910285949707,4896000
1997-08-12,15.5,16.125,15.25,15.6875,14.548734664916992,1774500
1997-08-13,15.96875,16.25,15.25,15.625,14.490771293640137,1425000
1997-08-14,15.75,16.75,15.625,16.625,15.418181419372559,493000
1997-08-15,16.75,17.25,16.375,17.1875,15.939847946166992,332800
1997-08-18,17.5,17.5,16.125,16.25,15.070402145385742,308700
1997-08-19,18.5,18.5,16.625,16.9375,15.707996368408203,1822000
1997-08-20,17.375,17.375,16.375,16.75,15.53410530090332,454200
1997-08-21,17.0,17.5,16.375,16.625,15.418181419372559,459100
1997-08-22,16.5625,16.625,15.875,16.25,15.070402145385742,290700
