Date,Open,High,Low,Close,Adj Close,Volume
1999-03-08,5.875,6.125,5.875,6.0,3.9848389625549316,18200
1999-03-09,6.0,6.0,5.875,5.9375,3.943331241607666,1500
1999-03-10,5.9375,5.9375,5.5625,5.6875,3.777296304702759,17900
1999-03-11,5.75,5.9375,5.75,5.875,3.901822328567505,40100
1999-03-12,5.875,5.875,5.75,5.75,3.818804979324341,3500
1999-03-15,5.625,5.75,5.5625,5.75,3.818804979324341,11900
1999-03-16,5.625,5.75,5.625,5.625,3.7357871532440186,25400
1999-03-17,5.625,6.0625,5.625,6.0,3.9848389625549316,11700
1999-03-18,6.125,6.125,5.875,5.9375,3.943331241607666,2600
1999-03-19,6.0625,6.1875,5.75,6.1875,4.109366416931152,20200
1999-03-22,6.25,6.25,6.125,6.1875,4.109366416931152,7200
1999-03-23,6.0625,6.0625,5.875,5.9375,3.943331241607666,12000
1999-03-24,5.8125,5.8125,5.8125,5.8125,3.8603127002716064,1600
1999-03-25,5.875,6.0,5.875,5.875,3.901822328567505,5700
1999-03-26,5.9375,5.9375,5.9375,5.9375,3.943331241607666,16500
1999-03-29,5.9375,6.0,5.9375,5.9375,3.943331241607666,6500
1999-03-30,5.9375,6.125,5.9375,6.0,3.9848389625549316,23500
1999-03-31,6.0,6.0,5.875,5.875,3.901822328567505,6600
1999-04-01,5.9375,6.0,5.875,5.875,3.901822328567505,2700
1999-04-05,5.8125,6.1875,5.8125,6.0,3.9848389625549316,38700
1999-04-06,6.0,6.0,5.8125,5.875,3.901822328567505,12800
1999-04-07,5.875,5.875,5.875,5.875,3.901822328567505,5600
1999-04-08,5.8125,5.8125,5.8125,5.8125,3.8603127002716064,12000
1999-04-09,5.8125,6.0,5.8125,6.0,3.9848389625549316,18100
1999-04-12,5.875,6.0,5.875,5.9375,3.943331241607666,21800
1999-04-13,5.9375,6.0,5.9375,6.0,3.9848389625549316,6600
1999-04-14,6.0,6.0,6.0,6.0,3.9848389625549316,5500
1999-04-15,6.0,6.25,6.0,6.125,4.067856311798096,12100
1999-04-16,6.0625,6.25,6.0625,6.25,4.150873184204102,45800
1999-04-19,6.25,6.5,6.25,6.375,4.23389196395874,12600
1999-04-20,6.375,6.375,6.25,6.25,4.150873184204102,4500
1999-04-21,6.25,6.5625,6.25,6.4375,4.275400638580322,5100
1999-04-22,6.4375,6.4375,6.1875,6.1875,4.109366416931152,11900
1999-04-23,6.1875,6.25,6.1875,6.25,4.150873184204102,18600
1999-04-26,6.25,6.4375,6.25,6.3125,4.1923828125,11700
1999-04-27,6.3125,6.4375,6.25,6.4375,4.275400638580322,10100
1999-04-28,6.3125,6.4375,6.25,6.25,4.150873184204102,11200
1999-04-29,6.25,6.375,6.25,6.3125,4.1923828125,11400
1999-04-30,6.3125,6.4375,6.25,6.375,4.23389196395874,65400
1999-05-03,6.375,6.375,6.125,6.1875,4.109366416931152,7900
1999-05-04,6.25,6.25,5.9375,6.0,3.9848389625549316,17100
1999-05-05,6.0,6.3125,6.0,6.3125,4.1923828125,10100
1999-05-06,6.25,6.25,6.25,6.25,4.150873184204102,6000
1999-05-07,6.25,6.25,6.0,6.0,3.9848389625549316,9400
1999-05-10,6.125,6.25,6.0625,6.25,4.150873184204102,5500
1999-05-11,6.3125,6.3125,6.125,6.1875,4.109366416931152,9600
1999-05-12,6.375,6.375,6.1875,6.25,4.150873184204102,16100
1999-05-13,6.1875,6.25,6.1875,6.1875,4.109366416931152,9600
1999-05-14,6.125,6.375,6.0625,6.375,4.23389196395874,53800
1999-05-17,6.3125,6.375,6.25,6.25,4.150873184204102,10100
1999-05-18,6.125,6.25,6.125,6.125,4.067856311798096,11900
1999-05-19,6.25,6.25,6.125,6.1875,4.109366416931152,6000
1999-05-20,6.1875,6.3125,6.1875,6.3125,4.1923828125,9900
1999-05-21,6.625,7.1875,6.4375,7.125,4.731997489929199,91300
1999-05-24,7.4375,7.5,7.125,7.125,4.731997489929199,78500
1999-05-25,7.125,7.1875,7.0625,7.0625,4.690488338470459,44700
1999-05-26,7.0625,7.8125,7.0,7.75,5.147085666656494,96500
1999-05-27,7.75,7.875,7.6875,7.6875,5.105572700500488,50100
1999-05-28,7.6875,7.75,7.5625,7.5625,5.022558689117432,10100
1999-06-01,7.6875,7.6875,7.5625,7.5625,5.022558689117432,79000
1999-06-02,7.5,7.6875,7.5,7.625,5.064066410064697,6000
1999-06-03,7.625,7.6875,7.5625,7.5625,5.022558689117432,4100
1999-06-04,7.5625,7.625,7.5,7.5625,5.022558689117432,5900
1999-06-07,7.5625,7.875,7.5625,7.8125,5.188594341278076,28300
1999-06-08,7.75,7.8125,7.75,7.8125,5.188594341278076,29100
1999-06-09,7.875,7.9375,7.8125,7.9375,5.27161169052124,23900
1999-06-10,7.875,7.9375,7.8125,7.8125,5.188594341278076,14000
1999-06-11,7.8125,7.8125,7.8125,7.8125,5.188594341278076,15100
1999-06-14,7.8125,7.8125,7.6875,7.6875,5.105572700500488,53300
1999-06-15,7.6875,7.75,7.6875,7.75,5.147085666656494,17900
1999-06-16,7.75,7.8125,7.75,7.8125,5.188594341278076,19300
1999-06-17,7.75,7.8125,7.75,7.75,5.147085666656494,4900
1999-06-18,7.75,7.75,7.75,7.75,5.147085666656494,0
1999-06-21,7.75,7.8125,7.75,7.8125,5.188594341278076,5900
1999-06-22,7.875,7.875,7.75,7.875,5.230101108551025,104800
1999-06-23,7.8125,7.875,7.75,7.75,5.147085666656494,113900
1999-06-24,7.8125,7.8125,7.75,7.75,5.147085666656494,10500
1999-06-25,7.6875,7.8125,7.6875,7.8125,5.188594341278076,4100
1999-06-28,7.75,7.75,7.75,7.75,5.147085666656494,1400
1999-06-29,7.75,7.75,7.75,7.75,5.147085666656494,400
1999-06-30,7.75,7.75,7.625,7.75,5.147085666656494,2400
1999-07-01,7.8125,7.8125,7.75,7.8125,5.188594341278076,4100
1999-07-02,7.75,7.875,7.6875,7.75,5.147085666656494,8700
1999-07-06,7.75,7.875,7.75,7.875,5.230101108551025,26400
1999-07-07,7.875,7.875,7.8125,7.8125,5.188594341278076,1700
1999-07-08,7.8125,7.8125,7.8125,7.8125,5.188594341278076,3300
1999-07-09,7.8125,7.875,7.8125,7.875,5.230101108551025,7900
1999-07-12,7.9375,7.9375,7.8125,7.8125,5.188594341278076,6800
1999-07-13,7.875,7.875,7.8125,7.8125,5.188594341278076,4200
1999-07-14,7.9375,7.9375,7.8125,7.8125,5.188594341278076,1800
1999-07-15,7.8125,7.8125,7.8125,7.8125,5.188594341278076,6800
1999-07-16,7.9375,7.9375,7.8125,7.8125,5.188594341278076,3500
1999-07-19,7.875,7.875,7.75,7.75,5.147085666656494,8200
1999-07-20,7.8125,7.875,7.75,7.75,5.147085666656494,12200
1999-07-21,7.75,7.8125,7.6875,7.75,5.147085666656494,11100
1999-07-22,7.75,7.75,7.75,7.75,5.147085666656494,18600
1999-07-23,7.75,7.75,7.625,7.625,5.064066410064697,2900
1999-07-26,7.5,7.5625,7.4375,7.5,4.981048107147217,10000
1999-07-27,7.4375,7.75,7.4375,7.75,5.147085666656494,18400
1999-07-28,7.625,7.625,7.5,7.5625,5.022558689117432,6900
1999-07-29,7.6875,7.75,7.625,7.625,5.064066410064697,2400
1999-07-30,7.625,7.625,7.625,7.625,5.064066410064697,400
1999-08-02,7.625,7.625,7.5,7.5,4.981048107147217,1600
1999-08-03,7.5,7.5625,7.5,7.5625,5.022558689117432,8100
1999-08-04,7.5,7.5,7.5,7.5,4.981048107147217,400
1999-08-05,7.5,7.5,7.5,7.5,4.981048107147217,7100
1999-08-06,7.5,7.5,7.5,7.5,4.981048107147217,0
1999-08-09,7.625,7.625,7.5,7.5,4.981048107147217,10600
1999-08-10,7.5,7.625,7.5,7.5,4.981048107147217,2800
1999-08-11,7.5,7.5,7.375,7.375,4.898032188415527,4500
1999-08-12,7.4375,7.4375,7.375,7.375,4.898032188415527,2500
1999-08-13,7.4375,7.4375,7.375,7.375,4.898032188415527,13100
1999-08-16,7.375,7.4375,7.3125,7.3125,4.8565239906311035,3100
1999-08-17,7.375,7.9375,7.3125,7.6875,5.105572700500488,18200
1999-08-18,7.4375,7.5,7.4375,7.4375,4.939541339874268,3500
1999-08-19,7.3125,7.5,7.3125,7.375,4.898032188415527,3300
1999-08-20,7.375,7.5,7.375,7.5,4.981048107147217,7100
1999-08-23,7.3125,7.3125,7.3125,7.3125,4.8565239906311035,3900
1999-08-24,7.3125,7.5,7.25,7.3125,4.8565239906311035,12700
1999-08-25,7.3125,7.5625,7.3125,7.5,4.981048107147217,7400
1999-08-26,7.3125,7.4375,7.25,7.25,4.815014362335205,5200
1999-08-27,7.3125,7.3125,7.3125,7.3125,4.8565239906311035,1100
1999-08-30,7.3125,7.3125,7.25,7.25,4.815014362335205,2500
1999-08-31,7.25,7.4375,7.25,7.4375,4.939541339874268,3600
1999-09-01,7.375,7.4375,7.25,7.4375,4.939541339874268,1400
1999-09-02,7.3125,7.3125,7.1875,7.1875,4.773506164550781,1700
1999-09-03,7.0625,7.5,7.0,7.5,4.981048107147217,15400
1999-09-07,7.4375,7.4375,7.375,7.375,4.898032188415527,2200
1999-09-08,7.375,7.375,7.1875,7.1875,4.773506164550781,3200
1999-09-09,7.25,7.375,7.25,7.25,4.815014362335205,6100
1999-09-10,7.1875,7.625,7.1875,7.625,5.064066410064697,38500
1999-09-13,7.6875,7.6875,7.375,7.5625,5.022558689117432,6100
1999-09-14,7.625,7.75,7.625,7.6875,5.105572700500488,7100
1999-09-15,7.8125,7.8125,7.75,7.8125,5.188594341278076,2900
1999-09-16,7.75,7.875,7.75,7.875,5.230101108551025,1200
1999-09-17,7.75,7.75,7.625,7.625,5.064066410064697,3200
1999-09-20,7.625,7.625,7.625,7.625,5.064066410064697,18400
1999-09-21,7.625,7.625,7.625,7.625,5.064066410064697,8800
1999-09-22,7.625,7.625,7.5625,7.5625,5.022558689117432,1500
1999-09-23,7.5625,7.625,7.5,7.625,5.064066410064697,9200
1999-09-24,7.5625,7.625,7.5625,7.625,5.064066410064697,1100
1999-09-27,7.5625,7.6875,7.5,7.5,4.981048107147217,19800
1999-09-28,7.4375,7.9375,7.4375,7.9375,5.27161169052124,21400
1999-09-29,8.0,8.1875,7.75,7.75,5.147085666656494,28200
1999-09-30,7.75,7.75,6.8125,6.8125,4.524453163146973,65800
1999-10-01,7.0,7.25,7.0,7.25,4.815014362335205,22100
1999-10-04,7.375,7.375,6.875,6.875,4.565962791442871,20200
1999-10-05,6.875,7.0,6.8125,6.8125,4.524453163146973,20900
1999-10-06,6.75,6.75,6.5,6.5,4.316909313201904,26700
1999-10-07,6.4375,6.5,6.4375,6.5,4.316909313201904,4300
1999-10-08,6.4375,6.5,6.4375,6.4375,4.275400638580322,6200
